Test Case ID,Category,Target Agent,User Prompt,Expected Status,Expected Action,Employee ID
TC-POL-025,Policy_QA,,What is the company policy regarding parental leave duration (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-026,Policy_QA,,What is the company policy regarding parental leave duration (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-027,Policy_QA,,What is the company policy regarding parental leave duration (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-028,Policy_QA,,What is the company policy regarding parental leave duration (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-029,Policy_QA,,What is the company policy regarding parental leave duration (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-030,Policy_QA,,What is the company policy regarding parental leave duration (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-031,Policy_QA,,What is the company policy regarding home office monitor size (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-032,Policy_QA,,What is the company policy regarding home office monitor size (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-033,Policy_QA,,What is the company policy regarding home office monitor size (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-034,Policy_QA,,What is the company policy regarding home office monitor size (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-035,Policy_QA,,What is the company policy regarding home office monitor size (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-036,Policy_QA,,What is the company policy regarding home office monitor size (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-037,Policy_QA,,What is the company policy regarding home office monitor size (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-038,Policy_QA,,What is the company policy regarding home office monitor size (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-039,Policy_QA,,What is the company policy regarding home office monitor size (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-040,Policy_QA,,What is the company policy regarding home office monitor size (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-041,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-042,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-043,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-044,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-045,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-046,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-047,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-048,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-049,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-050,Policy_QA,,What is the company policy regarding laptop refresh cycle (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-051,Policy_QA,,What is the company policy regarding hotel daily limit (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-052,Policy_QA,,What is the company policy regarding hotel daily limit (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-053,Policy_QA,,What is the company policy regarding hotel daily limit (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-054,Policy_QA,,What is the company policy regarding hotel daily limit (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-055,Policy_QA,,What is the company policy regarding hotel daily limit (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-056,Policy_QA,,What is the company policy regarding hotel daily limit (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-057,Policy_QA,,What is the company policy regarding hotel daily limit (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-058,Policy_QA,,What is the company policy regarding hotel daily limit (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-059,Policy_QA,,What is the company policy regarding hotel daily limit (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-060,Policy_QA,,What is the company policy regarding hotel daily limit (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-061,Policy_QA,,What is the company policy regarding meal per diem rate (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-062,Policy_QA,,What is the company policy regarding meal per diem rate (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-063,Policy_QA,,What is the company policy regarding meal per diem rate (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-064,Policy_QA,,What is the company policy regarding meal per diem rate (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-065,Policy_QA,,What is the company policy regarding meal per diem rate (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-066,Policy_QA,,What is the company policy regarding meal per diem rate (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-067,Policy_QA,,What is the company policy regarding meal per diem rate (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-068,Policy_QA,,What is the company policy regarding meal per diem rate (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-069,Policy_QA,,What is the company policy regarding meal per diem rate (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-070,Policy_QA,,What is the company policy regarding meal per diem rate (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-071,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 1)?,REFUSED,N/A,EMP1024
TC-POL-072,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 2)?,REFUSED,N/A,EMP1024
TC-POL-073,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 3)?,REFUSED,N/A,EMP1024
TC-POL-074,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 4)?,REFUSED,N/A,EMP1024
TC-POL-075,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 5)?,REFUSED,N/A,EMP1024
TC-POL-076,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 6)?,REFUSED,N/A,EMP1024
TC-POL-077,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 7)?,REFUSED,N/A,EMP1024
TC-POL-078,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 8)?,REFUSED,N/A,EMP1024
TC-POL-079,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 9)?,REFUSED,N/A,EMP1024
TC-POL-080,Policy_QA,,Can I get company reimbursement for pet massage reimbursement (variation 10)?,REFUSED,N/A,EMP1024
TC-POL-081,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 1)?,REFUSED,N/A,EMP1024
TC-POL-082,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 2)?,REFUSED,N/A,EMP1024
TC-POL-083,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 3)?,REFUSED,N/A,EMP1024
TC-POL-084,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 4)?,REFUSED,N/A,EMP1024
TC-POL-085,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 5)?,REFUSED,N/A,EMP1024
TC-POL-086,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 6)?,REFUSED,N/A,EMP1024
TC-POL-087,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 7)?,REFUSED,N/A,EMP1024
TC-POL-088,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 8)?,REFUSED,N/A,EMP1024
TC-POL-089,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 9)?,REFUSED,N/A,EMP1024
TC-POL-090,Policy_QA,,Can I get company reimbursement for crypto investment allowance (variation 10)?,REFUSED,N/A,EMP1024
TC-POL-091,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 1)?,REFUSED,N/A,EMP1024
TC-POL-092,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 2)?,REFUSED,N/A,EMP1024
TC-POL-093,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 3)?,REFUSED,N/A,EMP1024
TC-POL-094,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 4)?,REFUSED,N/A,EMP1024
TC-POL-095,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 5)?,REFUSED,N/A,EMP1024
TC-POL-096,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 6)?,REFUSED,N/A,EMP1024
TC-POL-097,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 7)?,REFUSED,N/A,EMP1024
TC-POL-098,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 8)?,REFUSED,N/A,EMP1024
TC-POL-099,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 9)?,REFUSED,N/A,EMP1024
TC-POL-100,Policy_QA,,Can I get company reimbursement for gaming console procurement (variation 10)?,REFUSED,N/A,EMP1024
TC-HRMS-101,HRMS_WorkWeek,,Check my vacation balance [ref #1],SUCCESS,N/A,EMP1024
TC-HRMS-102,HRMS_WorkWeek,,Check my vacation balance [ref #2],SUCCESS,N/A,EMP1024
TC-HRMS-103,HRMS_WorkWeek,,Check my vacation balance [ref #3],SUCCESS,N/A,EMP1024
TC-HRMS-104,HRMS_WorkWeek,,Check my vacation balance [ref #4],SUCCESS,N/A,EMP1024
TC-HRMS-105,HRMS_WorkWeek,,Check my vacation balance [ref #5],SUCCESS,N/A,EMP1024
TC-HRMS-106,HRMS_WorkWeek,,Check my vacation balance [ref #6],SUCCESS,N/A,EMP1024
TC-HRMS-107,HRMS_WorkWeek,,Check my vacation balance [ref #7],SUCCESS,N/A,EMP1024
TC-HRMS-108,HRMS_WorkWeek,,Check my vacation balance [ref #8],SUCCESS,N/A,EMP1024
TC-HRMS-109,HRMS_WorkWeek,,Check my vacation balance [ref #9],SUCCESS,N/A,EMP1024
TC-HRMS-110,HRMS_WorkWeek,,Check my vacation balance [ref #10],SUCCESS,N/A,EMP1024
TC-HRMS-111,HRMS_WorkWeek,,Check my vacation balance [ref #11],SUCCESS,N/A,EMP1024
TC-HRMS-112,HRMS_WorkWeek,,Check my vacation balance [ref #12],SUCCESS,N/A,EMP1024
TC-HRMS-113,HRMS_WorkWeek,,Check my vacation balance [ref #13],SUCCESS,N/A,EMP1024
TC-HRMS-114,HRMS_WorkWeek,,Check my vacation balance [ref #14],SUCCESS,N/A,EMP1024
TC-HRMS-115,HRMS_WorkWeek,,Check my vacation balance [ref #15],SUCCESS,N/A,EMP1024
TC-HRMS-116,HRMS_WorkWeek,,Check my vacation balance [ref #16],SUCCESS,N/A,EMP1024
TC-HRMS-117,HRMS_WorkWeek,,Check my vacation balance [ref #17],SUCCESS,N/A,EMP1024
TC-HRMS-118,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #1],SUCCESS,N/A,EMP1024
TC-HRMS-119,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #2],SUCCESS,N/A,EMP1024
TC-HRMS-120,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #3],SUCCESS,N/A,EMP1024
TC-HRMS-121,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #4],SUCCESS,N/A,EMP1024
TC-HRMS-122,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #5],SUCCESS,N/A,EMP1024
TC-HRMS-123,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #6],SUCCESS,N/A,EMP1024
TC-HRMS-124,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #7],SUCCESS,N/A,EMP1024
TC-HRMS-125,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #8],SUCCESS,N/A,EMP1024
TC-HRMS-126,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #9],SUCCESS,N/A,EMP1024
TC-HRMS-127,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #10],SUCCESS,N/A,EMP1024
TC-HRMS-128,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #11],SUCCESS,N/A,EMP1024
TC-HRMS-129,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #12],SUCCESS,N/A,EMP1024
TC-HRMS-130,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #13],SUCCESS,N/A,EMP1024
TC-HRMS-131,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #14],SUCCESS,N/A,EMP1024
TC-HRMS-132,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #15],SUCCESS,N/A,EMP1024
TC-HRMS-133,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #16],SUCCESS,N/A,EMP1024
TC-HRMS-134,HRMS_WorkWeek,,How many sick leave hours do I have left? [ref #17],SUCCESS,N/A,EMP1024
TC-HRMS-135,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #1],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-136,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #2],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-137,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #3],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-138,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #4],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-139,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #5],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-140,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #6],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-141,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #7],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-142,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #8],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-143,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #9],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-144,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #10],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-145,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #11],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-146,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #12],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-147,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #13],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-148,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #14],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-149,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #15],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-150,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #16],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-151,HRMS_WorkWeek,,Book 2 days vacation for Aug 27 to Aug 28 [ref #17],HITL_REQUIRED,request_time_off,EMP1024
TC-HRMS-152,HRMS_WorkWeek,,Request 10 days vacation leave [ref #1],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-153,HRMS_WorkWeek,,Request 10 days vacation leave [ref #2],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-154,HRMS_WorkWeek,,Request 10 days vacation leave [ref #3],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-155,HRMS_WorkWeek,,Request 10 days vacation leave [ref #4],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-156,HRMS_WorkWeek,,Request 10 days vacation leave [ref #5],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-157,HRMS_WorkWeek,,Request 10 days vacation leave [ref #6],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-158,HRMS_WorkWeek,,Request 10 days vacation leave [ref #7],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-159,HRMS_WorkWeek,,Request 10 days vacation leave [ref #8],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-160,HRMS_WorkWeek,,Request 10 days vacation leave [ref #9],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-161,HRMS_WorkWeek,,Request 10 days vacation leave [ref #10],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-162,HRMS_WorkWeek,,Request 10 days vacation leave [ref #11],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-163,HRMS_WorkWeek,,Request 10 days vacation leave [ref #12],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-164,HRMS_WorkWeek,,Request 10 days vacation leave [ref #13],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-165,HRMS_WorkWeek,,Request 10 days vacation leave [ref #14],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-166,HRMS_WorkWeek,,Request 10 days vacation leave [ref #15],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-167,HRMS_WorkWeek,,Request 10 days vacation leave [ref #16],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-168,HRMS_WorkWeek,,Request 10 days vacation leave [ref #17],VALIDATION_FAILED,N/A,EMP2048
TC-HRMS-169,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #1],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-170,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #2],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-171,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #3],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-172,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #4],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-173,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #5],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-174,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #6],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-175,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #7],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-176,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #8],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-177,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #9],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-178,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #10],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-179,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #11],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-180,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #12],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-181,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #13],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-182,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #14],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-183,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #15],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-184,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #16],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-185,HRMS_WorkWeek,,Cancel my leave request REQ-1001 [ref #17],SUCCESS,cancel_leave_request,EMP1024
TC-HRMS-186,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #1],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-187,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #2],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-188,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #3],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-189,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #4],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-190,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #5],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-191,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #6],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-192,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #7],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-193,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #8],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-194,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #9],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-195,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #10],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-196,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #11],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-197,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #12],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-198,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #13],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-199,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #14],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-200,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #15],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-201,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #16],HITL_REQUIRED,update_personal_info,EMP1024
TC-HRMS-202,HRMS_WorkWeek,,Update my home address to 456 Innovation Way [ref #17],HITL_REQUIRED,update_personal_info,EMP1024
TC-ITMS-203,ITMS_ServiceImmediately,,List all my active IT support tickets (case #1),SUCCESS,N/A,EMP1024
TC-ITMS-204,ITMS_ServiceImmediately,,List all my active IT support tickets (case #2),SUCCESS,N/A,EMP1024
TC-ITMS-205,ITMS_ServiceImmediately,,List all my active IT support tickets (case #3),SUCCESS,N/A,EMP1024
TC-ITMS-206,ITMS_ServiceImmediately,,List all my active IT support tickets (case #4),SUCCESS,N/A,EMP1024
TC-ITMS-207,ITMS_ServiceImmediately,,List all my active IT support tickets (case #5),SUCCESS,N/A,EMP1024
TC-ITMS-208,ITMS_ServiceImmediately,,List all my active IT support tickets (case #6),SUCCESS,N/A,EMP1024
TC-ITMS-209,ITMS_ServiceImmediately,,List all my active IT support tickets (case #7),SUCCESS,N/A,EMP1024
TC-ITMS-210,ITMS_ServiceImmediately,,List all my active IT support tickets (case #8),SUCCESS,N/A,EMP1024
TC-ITMS-211,ITMS_ServiceImmediately,,List all my active IT support tickets (case #9),SUCCESS,N/A,EMP1024
TC-ITMS-212,ITMS_ServiceImmediately,,List all my active IT support tickets (case #10),SUCCESS,N/A,EMP1024
TC-ITMS-213,ITMS_ServiceImmediately,,List all my active IT support tickets (case #11),SUCCESS,N/A,EMP1024
TC-ITMS-214,ITMS_ServiceImmediately,,List all my active IT support tickets (case #12),SUCCESS,N/A,EMP1024
TC-ITMS-215,ITMS_ServiceImmediately,,List all my active IT support tickets (case #13),SUCCESS,N/A,EMP1024
TC-ITMS-216,ITMS_ServiceImmediately,,List all my active IT support tickets (case #14),SUCCESS,N/A,EMP1024
TC-ITMS-217,ITMS_ServiceImmediately,,List all my active IT support tickets (case #15),SUCCESS,N/A,EMP1024
TC-ITMS-218,ITMS_ServiceImmediately,,List all my active IT support tickets (case #16),SUCCESS,N/A,EMP1024
TC-ITMS-219,ITMS_ServiceImmediately,,List all my active IT support tickets (case #17),SUCCESS,N/A,EMP1024
TC-ITMS-220,ITMS_ServiceImmediately,,List all my active IT support tickets (case #18),SUCCESS,N/A,EMP1024
TC-ITMS-221,ITMS_ServiceImmediately,,List all my active IT support tickets (case #19),SUCCESS,N/A,EMP1024
TC-ITMS-222,ITMS_ServiceImmediately,,List all my active IT support tickets (case #20),SUCCESS,N/A,EMP1024
TC-ITMS-223,ITMS_ServiceImmediately,,List all my active IT support tickets (case #21),SUCCESS,N/A,EMP1024
TC-ITMS-224,ITMS_ServiceImmediately,,List all my active IT support tickets (case #22),SUCCESS,N/A,EMP1024
TC-ITMS-225,ITMS_ServiceImmediately,,List all my active IT support tickets (case #23),SUCCESS,N/A,EMP1024
TC-ITMS-226,ITMS_ServiceImmediately,,List all my active IT support tickets (case #24),SUCCESS,N/A,EMP1024
TC-ITMS-227,ITMS_ServiceImmediately,,List all my active IT support tickets (case #25),SUCCESS,N/A,EMP1024
TC-ITMS-228,ITMS_ServiceImmediately,,Check ticket status for my laptop issue (case #1),SUCCESS,N/A,EMP1024
TC-ITMS-229,ITMS_ServiceImmediately,,Check ticket status for my laptop issue (case #2),SUCCESS,N/A,EMP1024
TC-ITMS-230,ITMS_ServiceImmediately,,Check ticket status for my laptop issue (case #3),SUCCESS,N/A,EMP1024
